epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2045.98,0.63708,0.50433,0.92823,0.93201,0.72174,0.80198,0.64634,0.86217,0.91384,0.9674,0.0008912,0.0008912,0.0008912
58,2080.02,0.60596,0.50544,0.93153,0.89633,0.73684,0.7909,0.60987,0.94433,1.01675,1.00874,0.0008714,0.0008714,0.0008714
59,2113.7,0.57271,0.4774,0.89287,0.79988,0.73633,0.77455,0.60352,0.94374,1.03353,1.00173,0.0008516,0.0008516,0.0008516
60,2147.58,0.62101,0.49801,0.91262,0.96401,0.70499,0.80218,0.62087,0.94728,0.97639,1.01545,0.0008318,0.0008318,0.0008318
61,2181.45,0.55792,0.47179,0.91667,0.95763,0.71053,0.80209,0.62101,0.94447,0.8729,1.0457,0.000812,0.000812,0.000812
62,2215.46,0.58162,0.46695,0.93316,0.95679,0.73684,0.80301,0.62682,0.96171,0.84196,1.05029,0.0007922,0.0007922,0.0007922
63,2249.24,0.57486,0.45572,0.92322,0.92802,0.73684,0.80033,0.60561,1.02424,0.94155,1.08852,0.0007724,0.0007724,0.0007724
64,2282.66,0.58716,0.47238,0.93428,0.87867,0.76316,0.81029,0.60026,0.98444,0.94847,1.07721,0.0007526,0.0007526,0.0007526
65,2316.61,0.56349,0.45358,0.9245,0.83308,0.78947,0.81025,0.59094,0.9791,0.91738,1.04867,0.0007328,0.0007328,0.0007328
66,2350.51,0.53963,0.43823,0.91902,0.92252,0.68421,0.81431,0.6075,0.9499,0.92216,1.02312,0.000713,0.000713,0.000713
67,2384.38,0.55499,0.44339,0.90606,0.96262,0.67792,0.80782,0.61749,0.93615,0.94054,1.01487,0.0006932,0.0006932,0.0006932
68,2418.32,0.5304,0.43963,0.8986,0.96253,0.67622,0.8087,0.62814,0.91444,0.98035,1.00689,0.0006734,0.0006734,0.0006734
69,2451.62,0.51906,0.42273,0.88049,0.95073,0.71053,0.79445,0.62736,0.89961,0.98855,1.00424,0.0006536,0.0006536,0.0006536
70,2485.17,0.51311,0.42286,0.89894,0.95788,0.71053,0.78728,0.62843,0.88888,0.98454,0.99849,0.0006338,0.0006338,0.0006338
71,2519.35,0.52921,0.41193,0.9022,0.95922,0.71053,0.77589,0.61754,0.91055,0.98788,0.99884,0.000614,0.000614,0.000614
72,2553.23,0.5211,0.41319,0.89895,0.92603,0.71053,0.78405,0.60428,0.90202,0.9874,1.00495,0.0005942,0.0005942,0.0005942
73,2586.6,0.47554,0.40232,0.88167,0.96417,0.70816,0.79211,0.6012,0.90767,0.95593,1.00403,0.0005744,0.0005744,0.0005744
74,2619.95,0.50888,0.41395,0.8918,0.84589,0.76316,0.79742,0.61933,0.91415,0.92429,0.99842,0.0005546,0.0005546,0.0005546
75,2653.57,0.53962,0.42052,0.91257,0.93098,0.70996,0.80928,0.62543,0.8865,0.88792,0.99105,0.0005348,0.0005348,0.0005348
76,2687.21,0.55661,0.42359,0.9161,0.95743,0.71053,0.81327,0.62516,0.88883,0.89786,0.98964,0.000515,0.000515,0.000515
77,2720.68,0.50389,0.4135,0.89447,0.87228,0.76316,0.81705,0.61826,0.93302,0.90685,0.99971,0.0004952,0.0004952,0.0004952
78,2754.71,0.52627,0.42217,0.88711,0.86726,0.76316,0.81204,0.61807,0.94492,0.9293,1.01046,0.0004754,0.0004754,0.0004754
79,2788.57,0.48676,0.39546,0.8822,0.90479,0.75048,0.80159,0.61094,0.92359,0.92767,1.00603,0.0004556,0.0004556,0.0004556
80,2822.66,0.50725,0.38667,0.89587,0.92663,0.73684,0.7947,0.6127,0.91182,0.94104,0.99199,0.0004358,0.0004358,0.0004358
81,2856.41,0.48533,0.38177,0.88838,0.93266,0.72913,0.79604,0.61642,0.89601,0.91169,0.97734,0.000416,0.000416,0.000416
82,2889.92,0.45788,0.38557,0.87851,0.92875,0.73684,0.80115,0.61646,0.89962,0.90498,0.97374,0.0003962,0.0003962,0.0003962
83,2923.7,0.44934,0.36617,0.85297,0.96406,0.70601,0.79676,0.611,0.91689,0.92348,0.98117,0.0003764,0.0003764,0.0003764
84,2957.58,0.46988,0.39225,0.87765,0.9543,0.68421,0.79885,0.61896,0.8752,0.88872,0.96702,0.0003566,0.0003566,0.0003566
85,2991.25,0.4521,0.36185,0.88546,1,0.70065,0.80901,0.62046,0.84368,0.88829,0.95008,0.0003368,0.0003368,0.0003368
86,3024.87,0.47883,0.38489,0.88454,0.99989,0.71053,0.81187,0.63423,0.83816,0.87879,0.94001,0.000317,0.000317,0.000317
87,3058.82,0.45197,0.35638,0.88489,0.99994,0.71053,0.81362,0.6461,0.83161,0.85764,0.9349,0.0002972,0.0002972,0.0002972
88,3092.74,0.46826,0.37941,0.87964,0.99789,0.71053,0.82361,0.64378,0.83595,0.86072,0.9354,0.0002774,0.0002774,0.0002774
89,3126.4,0.42464,0.36782,0.86802,1,0.70665,0.82865,0.64912,0.82236,0.84217,0.9344,0.0002576,0.0002576,0.0002576
90,3160.37,0.43837,0.35041,0.87409,0.82908,0.76316,0.83064,0.64863,0.80454,0.81673,0.92779,0.0002378,0.0002378,0.0002378
91,3193.73,0.41637,0.35797,0.8441,0.84609,0.76316,0.83038,0.65065,0.79785,0.78856,0.92129,0.000218,0.000218,0.000218
92,3227.29,0.39557,0.35812,0.82233,0.87551,0.74042,0.83545,0.66111,0.80212,0.78618,0.91828,0.0001982,0.0001982,0.0001982
93,3260.46,0.38473,0.3238,0.81259,0.98784,0.68421,0.83407,0.66003,0.79684,0.79835,0.92029,0.0001784,0.0001784,0.0001784
94,3294.01,0.39062,0.33194,0.83495,0.82398,0.81579,0.8362,0.66715,0.79491,0.82412,0.92511,0.0001586,0.0001586,0.0001586
95,3327.65,0.38514,0.33634,0.81793,0.99397,0.68421,0.83151,0.67111,0.80113,0.82455,0.92995,0.0001388,0.0001388,0.0001388
96,3361.14,0.36791,0.31842,0.80691,0.81484,0.81078,0.83576,0.65528,0.81415,0.79478,0.93359,0.000119,0.000119,0.000119
97,3394.97,0.39504,0.3381,0.82296,0.98459,0.68421,0.83612,0.65684,0.82326,0.79454,0.93718,9.92e-05,9.92e-05,9.92e-05
98,3428.69,0.39446,0.32529,0.85173,0.99026,0.71053,0.83776,0.6624,0.82349,0.79047,0.93835,7.94e-05,7.94e-05,7.94e-05
99,3462.48,0.38648,0.30838,0.80613,0.98935,0.71053,0.84187,0.66283,0.81917,0.77351,0.93522,5.96e-05,5.96e-05,5.96e-05
100,3496.23,0.33548,0.31223,0.8153,1,0.7084,0.84205,0.66971,0.81249,0.76739,0.93212,3.98e-05,3.98e-05,3.98e-05
